Unnamed: 0,author,comment,translated_comment
304,verane_imam,@ekomentaro ???? belum tentu mas . Merka yang punya lahan sendiri yo bisa mengUPkan biaya parkir lo. Contoh hari raya poper . Luwes . Pcc itu semua punya lahan sendiri . Ya kalau mereka juga aji mumpung ???? intinya smga dilncarkan riskinya semua bisa sedekah lewat parkir 1000 rupiah . daripada diwehne wong nga**n ngnu diwei 1000 sek nesu parkir 2000 ora mbok wei susuk mesti muni matursuwun opo meneh seng mbok wei mbah mbah tuwk mesti ditambah ngantos ngatos mas mbak .,"@ekomentaro ???? belum tentu kawan. Bagi yang punya tanah sendiri bisa membayar biaya parkir. Contoh liburan poper. Fleksibel. PCC semuanya punya lahan sendiri. Ya, apakah itu juga berharga ???? intinya untuk melepaskan resiko, semua orang bisa berdonasi melalui tempat parkir sebesar 1000 rupiah. dari pada dikasih 1000 sama orang yang marah sama parkiran, malah 2000 aja yang dikasih."
305,noxers.noxx,Laah lah tonggo ku ngono kok an,Itu sebabnya saya seperti itu
306,dicko_armadona27,Cocok,Sesuai
307,sate_gule_kambing_bhayangkara,Alun alun juga ya d kasih e parkir,Alun alun juga memiliki tempat parkir
308,ekomentaro,"@verane_imam yg punya lahan ndiri kok dibahas,kn yg dbhas td ttg etilang,ya jls yg ada hubnya dg Pemda Wak,misalnya Yo parkir ne jln hos/alun2,","@verane_imam yang punya tanah disini kenapa dibicarakan, karena yang dibicarakan tidak ada kaitannya ya, yang ada hubungannya dengan Pemda Wak, misalnya Yo parkir di Jl."
309,noismaaa,@ekomentaro sepemikiran???? request diluar nalar bmkg,@ekomentaro berpikir???? permintaan diluar alasan bmkg
310,noismaaa,"@awang_medyna10 anu e mas parkir ng lapangan nko mlaku ng gon tujuan e puenak ???? requestmu diluar nalar bmkg, lahan e ndak ono full omah","@awang_medyna10 siapa yang parkir di lapangan atau berjalan kaki menuju tujuan? Permintaan anda di luar nalar bmkg, tanahnya tidak full house"
311,triendahokta,"@yogiiprapmito setuju,opo meneh sing gaene blojo bahan kadang toko satu & satune kosong pindah toko liyane,sik kas sak nyuk an ae parkir padahal barang sing di goleki durung oleh??","@yogiiprapmito setuju, apa gunanya beli bahan kadang satu toko & satu lagi kosong, pindah ke toko lain, harus bayar saat ke parkiran padahal belum menemukan barang yang dicari? ?"
312,yunizu54,"@yogiiprapmito rasa"" nya mau pindah negara??, tapi gimana caranya??","@yogiiprapmito Rasanya ingin pindah ke negara lain??, tapi bagaimana caranya??"
313,chandraperdanputra,@mutiaraya__ dari pada ribet komen ndk msuknakal mending diam saja.,@mutiaraya__ dari repotnya berkomentar dan msuknakal diam saja.
314,hr_kenn,sui sui kno E Toilet barang iki ngko??,sui sui kno E Toilet apakah ini?
315,nabilaputri4097,@hallondhy mbok ngono Ojo bawa uang banyak2 mbk di siap in 2ribu aja,"@hallondhy mungkin begitu. Jangan bawa uang banyak, mungkin yang 2 ribu sudah siap"
316,istaurini27,Fungsi trotoar untuk pejalan kaki mana pak  kok semua angkringan,Apa fungsi trotoar bagi pejalan kaki?
317,sugenghidayat12,Jukir jenenge berek ngasi bingung kwi Lo..diwarai ngasi Isa.. ????,Nama Jukirnya Berek dan aku bingung disini Lo.. Diwarai Isa..????
318,algaaarion,Bayare tetep gae tunai min?,Apakah Anda masih membayar tunai?
319,srimaharani2930,Maar nih melenceng dari topik info obat penghilang strechmark???,Maar apakah ini melenceng dari topik info obat penghilang strechmark???
320,eka_andriana85,Ya Allah..,Ya Allah..
321,ridwanardiansah,"Sing penting nek parkir mobil gede opo truk yo di pikir kancane no, ben ora ngebek i dalan ngono kae ????","Yang penting kalau parkir mobil atau truk besar teringat temanmu, jangan berhenti di jalan seperti itu????"
322,denikochi,"La ngono kwi mbayare pie ?...
Moso ws gae alat kyo DC mbayare sik manual..yo podo ae boong dong..sak ora2.ne gae kertu","Itu sebabnya saya membayar kuenya?...
Tidak memiliki alat DC untuk membayar secara manual."
323,ayokkoya,"E-til ae mbalik manual,kok malah njajal liyane????","Sampai saya mengembalikan manualnya, mengapa saya mencoba yang lain????"
324,herypurnama88,Wes ketebak endinge...,Kira-kira endingnya...
325,lilikteja,@srimaharani2930 cobain deh mba produk dari @solutionstrechmark.id ampuh banget say produknyaa saya juga strechmark parah setelh pemakaian rutin ga strechmarkan lagii deh mba,"@srimaharani2930 coba produk dari @solutionstrechmark.id manjur banget, saya juga punya stretch mark yang parah setelah pemakaian rutin, stretch mark sudah tidak ada lagi bu"
326,gendondjadoel,Harus... E Parking itu keharusan,Harus... E Parkir adalah suatu keharusan
327,hallondhy,Di dpn dan sebrang pizzahut pernh parkirmobil 10 rb g disusuki. ??,Depan dan seberang pizzahut ada tempat parkir mobil seharga 10 ribu. ??
328,fatmaannisaaa,Sip lanjutkan,Lanjutkan sip
329,aldhebilla,@lilikteja emang beneran ampuh nih mba? Udah bpom mba nihh?,@lilikteja apakah ini benar-benar ampuh? Sudahkah kamu melakukannya?
330,miyano_sherry21,@gustavianooo hla iyo lo...po meneh jukir e sing tuwo² ..contone bapakku..piye trus an ????,@gustavianooo hla iyo lo...bagaimana dengan yang lebih tua..misalnya ayahku..gimana????
331,celine_itssclinee,"yang udh tua bgaimna dong,ksiann ga ngrti gituan??","apa itu yang lama, apa kamu tidak mengetahuinya??"
332,taufabella,"iyes...setuju biar biaya parkir itu tarifnya jelas,kadang gak dikasih kembalian","ya.. Saya setuju kalau biaya parkirnya tarifnya jelas, kadang tidak dikembalikan"
333,rahmawati_nursya,@aldhebilla iyaa Iya mba tentu saja sudah bpom dan  bisa ampuh nih soalnya saya juga strechmark bekas lahiran bisa hilang & memudar ketika pakai produk dari @solutionstrechmark.id,"@aldhebilla iyaa Iya bu, pastinya sudah bpom dan bisa efektif karena saya juga punya tanda lahir yang bisa hilang & pudar jika menggunakan produk dari @solutionstrechmark.id"
334,ddddeviftr__,"sek sek, lha iki bayare gawe opo ta gess? qris?","sek sek, ini harga nya berapa? Apa?"
335,wafiqul_az,@gustavianooo ngakak??,@gustavianooo lucu??
336,gustavianooo,@bruri____ dari rakyat untuk kantong pegawai pajak ??,@bruri____ dari masyarakat untuk kantong petugas pajak??
337,lilikteja,@aldhebilla iya mba  tentu saja sudah bpom dan  bisa ampuh  soalnya saya juga strechmark bekas lahiran bisa hilang & memudar ketika pakai produk dari @solutionstrechmark.id,"@aldhebilla ya bu, tentunya sudah bpom dan bisa efektif karena saya juga punya tanda lahir yang hilang & pudar jika menggunakan produk dari @solutionstrechmark.id"
338,hanisramadhani,iku bayare gawe qris iso opo gawe kartu emoney?,apakah biaya untuk membuat qris atau kartu emoney?
339,awang_medyna10,"Dari pada mikir gawe alat kui , mbok mikir nang di engon parkir sing luas, ura nang pinggir dalan kiwo tengen garai sempit dalane.  Wes di kelongi kanggo trotoar sakmno ombone kok yo gone parkir sik ng pinggir dalan pak pok ae to yo yo.. macet ??","Daripada berpikir untuk membuat alat seperti itu, Anda mungkin mengira berada di tempat parkir yang luas, di kiri jalan, di kanan jalan sempit.  Kami sudah lama menunggu di trotoar. Mengapa Anda parkir di pinggir jalan?"
340,sutokoima,Aku tuku mainan neng boro2 parker 5000,Saya membeli mainan di boro2 parker seharga 5000
341,wardoyo.setiyo96,"Rakyat bayar Untuk PAD,  PAD Untuk... ??","Orang bayar PAD, PAD untuk...??"
342,nikoandika7017,"Kakean polah.. Apa dana untuk pembangunan monumen reog kurang kok pemerintahannya cari"" Dana di jalanan gt???????? Penggunaan eparking ini harusnya di alokasikan di tempat yang emang untuk lahan parking.. Bukan dipingir jalan gt.","Kakean polah.. Dana pembangunan tugu reog kurang, kenapa pemerintah cari"" Dana di jalan-jalan gt?"
343,yusron_atsani,"Sip,lanjutkan,,","Sip, lanjutkan,,"
344,ercikamc,Yok iso yok. Kuto kuto gede wes hal lumrah banget e-parkir saiki gilirane ponorogo iso nyusul ketertinggalan,Tidak tidak. E-parking sudah menjadi hal yang lumrah kini giliran Ponorogo yang menyusul
345,wiwik_octa,,Di Sini
346,eline_xiandhia,"Ditertibkan harus.... Tukang parking byk yg ga jlas ... Dksh  1000 minta 2000 , 2000 ga dikembalikan,5000  jg mau.... ??????","Harus diatur.... Banyak tukang parkir yang tidak menjelaskan... Dksh 1000 minta 2000, 2000 tidak dikembalikan, 5000 juga....??????"
347,mrluckym4n,nek bayare tunai tetep panggah isaw di UP,jika pembayaran tunai tetap sama di UP
348,clarisalindaa,"Wajar masih sehari, siapa tau kalau berkelanjutan efek kedepannya lebih baik","Wajar saja kalau masih sehari, siapa tahu kalau diteruskan efeknya akan lebih baik kedepannya"
349,_agisz_,Apakah bernasib sama karo E-tilang??,Apakah bernasib sama dengan E-tilang??
350,yogiiprapmito,"@eline_xiandhia parkir alon alon timur depan pizza hut 10 ribu, 10 ribu kali brapa ratus mobil, hasilnya ngerti dewe ??????","@eline_xiandhia parkir lambat depan pizza Hut 10 ribu, 10 ribu kali seratus mobil, tau hasilnya ??????"
351,elvandri_rafsanjani,"Pemerintah yo kudu ngomongi tukang parkire, kerjone ojo mung nompo duite tok.. njogo lan merapikan kendaraan sing tenanan, lan ngarahne kendaraan sing arep mlebu metu...","Seharusnya pemerintah bicara sama tukang parkir, jangan asal ambil uangnya.. merawat dan merapikan kendaraan, dan mengarahkan kendaraan yang keluar masuk..."
352,optik_tasikmalaya,Masih perlu adaptasi,Masih perlu beradaptasi
353,mutiaraya__,"Daripada ribet e-parking mending kasih fasilitas lahan khusus buat parkir, biar gak parkir dipinggir jalan! Yg solutif gituloo!","Daripada ribet e-parking, yuk kita kasih fasilitas lahan khusus untuk parkir, biar nggak perlu parkir di pinggir jalan! Itulah solusinya!"
354,wijaya_heng,Dana bocor paling di korupsi wong duwuran,Dana bocor adalah orang yang paling korup
355,wahidhariz12,"Jalannya buat parkir, telortoarnya buat jualan..mantap??????","Jalan untuk parkir, jalan untuk jualan.. padat??????"
356,add_zim,"Nyapo kok g gawe gedung  parkir  di kei boom gate secure P / Centre Park / Iss ngunu terus ngidul e gawe  tapi ya di modif ben nyaman bayar e becak iku soko parkir, retribusi parkir gedung moco"" 9% dari omset parkir. Iku ono akeh pilihan pembayaran.  Gak usah gawe aplikasi maneh ngembek ngebek i hp. Tpi lek kur dilut parkir pinggir dalan ae limit 7 menit luwih soko iku di angkut nang gedung parkir","Mengapa membangun gedung parkir di Boom Gate Secure P/Centre Park/Iss Tidak perlu membuat permohonan lagi, namun jika melewati batas parkir 7 menit akan dibawa ke tempat parkir?"
357,agungyuliyantonugroho,"Ya jelas ditolak,,dia kan jadi gak ada duit tambhan pemasukan??,,dan rawan pungli,klo sdh ada pungli biasanya akan ada preman...","Iya jelas-jelas ditolak, jadi gak punya penghasilan tambahan??,, dan rawan pungli, kalo ada pungli biasanya bakal ada preman..."
358,agungyuliyantonugroho,"@yogiiprapmito lbh anyel barang yg dicari gak ada,dan muter nyetori parkir??","@yogiiprapmito lebih sulit menemukan apa yang dicari, dan kamu bermain-main di tempat parkir??"
359,_rjl_ardi,Pelan pelan,Pelan pelan
360,agungyuliyantonugroho,"Kadang suka heran kok,,,kota lain bingung memperlebar jalan klo ini bingung mempersempit jalan??,,ente ini kadang2 ya....????","Kadang saya heran kenapa,,, kota lain bingung pelebaran jalan sedangkan kota ini bingung mempersempit jalan??,, ini kadang....????"
361,becakmesinmaniaponorogo,@optik_tasikmalaya tp nek gonq seikhlase bos yg minimal  sesuai perda yg berlaku(manual)????klo gone erepane pean gmn bos,@optik_tasikmalaya tapi kalau bos ikhlas minimal sesuai ketentuan yang berlaku (manual)????
362,becakmesinmaniaponorogo,"tp nek gonq seikhlase minimal sesuai perda tp jg ngono podo kurang kesadarane seikhlase podo abot,malahan motor 5rb nang seputaran alun""podo gelem????","tapi kalau nyetirnya ikhlas itu minimal menurut undang-undang, tapi kalau gak sadar serius, walaupun nyetir motor 5.000.000 keliling alun-alun bersedia????"
363,m.iqbalprabowo_,"GK ribet nih min, jal ... Lek ruame ...",GK ribet gan.. Lek gegabah..
364,rofiah_achmad,"@yogiiprapmito iyaa betul sekali, kadang saya kalau belanja atau ada keperluan lain gag cukup parkir satu tempat,??","@yogiiprapmito iya betul, kadang kalau mau belanja atau ada keperluan lain, parkir di satu tempat saja tidak cukup,??"
365,amruafa,"aneh"" e??","aneh"" ya??"
366,verane_imam,"Kakean rengkek min ?? parkir 2000 ae kok bodo umek ae , daripada ngurusi kuii mbok tukang parkire djak ngurusi samlah sampah opo malah ditambahi pengahasilane ben karo nyapu ratan atau merwat bunga seng neng pinggur pinggir dalan kae . Oleh gae wes enek patugase nyatane samlah yo sek numpuk neng endi endi .","Apakah kamu bercanda?? parkir 2000, kenapa bodoh sekali, dari pada urus ini malah tukang parkir yang mengurus pengumpulan sampah atau bahkan menambah penghasilan dengan menyapu rotan atau merawat bunga di pinggir jalan. Itu sebabnya saya tidak tahu harus berbuat apa."
367,yohan_putrarakeri,Lama lama juga ga berlaku.,Ini tidak terjadi dalam waktu lama.
368,brurysayfullh,Mungkin jukirnya di training dulu....,Mungkin saat latihan dulu...
369,zacky_punk,Seng sabar ya pak jukir??,Apakah anda sabar pak??
370,lia_novitaaasari,Teknologi msa kini..... Kadang yg muda aja ada yg gaptek.. Apalgi bpk2 jukir.. Perlu ekstra utk belajar lgi... ??,Teknologi jaman sekarang..... Terkadang anak muda bingung harus berbuat apa.. Apalagi orang tua.. Perlukah ekstra untuk belajar lebih banyak...??
371,agungprihatmaja,Kaboten setor paleng wkwwkwk ????,Gak bisa setor uangnya wkwwkwk????
372,tri.pika.3,"Ya bukan kaboten setor juga,,kan jukir ndk indo kebanyakan sudah berumur,,ya kalo berumur mereka sekolah ndak papa toh masih bisa baca lha kalo yang dak sekolah kan ya kasian juga","Iya lumayan juga kalau disetor, menurutku kebanyakan dari mereka sudah tua ya, kalau sudah cukup umur untuk bersekolah, mereka masih bisa membaca."
373,galih_wie017,Alasan wae,Hanya alasannya
374,dhl.info,Apik,Bagus
375,tharrymunyill,"Rumit apa cuan nya kurang? Biasanya kan 2k/motor, skrng 1k/motor??????","Ribet gak duitnya kurang? Biasanya 2k/motor, sekarang 1k/motor??????"
376,ilove_ponorogo,@tharrymunyill nice,@tharrymunyill bagus
377,ilove_ponorogo,@agungprihatmaja bner,@agungprihatmaja bner
378,zakariamahrez9,Karena kebiasaan 2 ribu dapetnya????,Karena kebiasaan dapat 2 ribu????
379,evie_r_kusumawati_,"Ya karena jukirnya sudah sepuh wajar sih kalo di bilang rimit,,,","Ya, karena dia sudah tua, maka wajar jika dikatakan dia sudah tua,,,"
380,singgih_dwi_hs,Pakai tas biar gampang bawa nya,Gunakan tas agar mudah dibawa
381,galery_griya_pusaka,Ora iso ngentit ????,Tak sabar menunggu????
382,sulthon.alhakim,Sek durung terbiasa pak.. suwe2 karek merem iso??,Saya belum terbiasa pak.. sudah berapa lama bapak melakukannya??
383,ahmad26.x,Coboy.,Koboi.
384,ponidi.pamungkas,iku masalahe Ki nggur durung kulino ae,"itu masalahnya, saya masih menganggur"
385,kangmaz_supendi,@fyrs_rr ????,@fyrs_rr ????
386,mashelnasya,@muslihitz86 koment ter cakeeep??????,@muslihitz86 koment ter cakeeep??????
387,mhyshinta,"lanjutkan e-parking,sampek berlaku tenanan pokoke...mengurangi parkir ilegal??????..angger mandek endi enggon kenek parkir motor 2k..basamu wes nompo duite ditinggal ngalih??????..mbok'o ditulisane motor 1k..tetep dikon mbayar 2k??","lanjutkan e-parking, sampai benar-benar berfungsi...kurangi parkir liar??????..asal berhenti dimana harus parkir motor 2k..harus ambil uangnya dan biarkan pindah ??????..mungkin tertulis motor 1k.. masih diminta bayar 2k??"
388,kristiazhwhas,"?????? ?????????? ???? ????????????,???????? ???????? ?????????? ???????? ???????? ????????????...???????????????????????? ???????? ????????????...??","?????? ????????? ???? ????????????,????????? ???????? ????????? ???????? ???????? ????????????...??????????????????????????? ???????? ????????????...??"
389,jejaklangit88,"@itzsgaa_ pas ono konser denny caknan karo MNC TV poro jukir iso gae ngredit motor ngertio, difkir fkir sakjane yo mesakke, tapi dilain sisi kok greget ke yo lur","@itzsgaa_ saat datang ke konser Denny bersama MNC TV, katanya gak bisa pinjam motor lho, menurutku dia minta maaf, tapi di sisi lain kenapa kesal?"
390,jejaklangit88,"@f3_ndra lhaa ndalah,podo, tapi sek ngenes awakmu, aku wae parkir mobil ning ngarep pendopo ditarik 2000,gek blas tanpa karcis, ngono kui piye jal, Indonesia arep dijak maju angel to, mbalek maneh nang SDM","@f3_ndra Maafkan aku, tapi kalau kamu khawatir dengan dirimu sendiri, aku memarkir mobilku di depan paviliun dan ditagih 2000, aku gila tanpa tiket, jadi bagaimana kabarmu, Indonesia akan ditanya untuk maju susah, balik ke SDM"
391,rudirianto3219992023,KALO ALESAN RIBET YA BELAJAR. KALO MASIH GAK MAU RIBET YA GANTI PEKERJAAN. TOH BANYAK YANG KOK GANTIIN KERJA KALIAN??,"JIKA ALASANNYA KONFLIK, PELAJARI. JIKA ANDA MASIH TIDAK INGIN TERLIBAT, GANTI PEKERJAAN. BERAPA BANYAK ANDA MENGUBAH PEKERJAAN ANDA??"
392,_raasgtiulti_,Regenerasi ae ga sihh??,Regenerasi atau tidak??
393,kustyoriniaprilia,Mlampah wae nek mboten purun parkir.. Ngono wae og bingung,Jalan saja kalau tidak mau parkir.. Makanya bingung
394,dhul_20bhajoel,"Ribet? Sg ribet kw kui wg djak penak kg angel ,,negoro kog arep maju djak pnak ae modelan ngene ki sg garai ra maju2",Rumit? Ini sangat rumit sehingga sulit bagi saya untuk bergerak maju.
395,bosnyaran.co.id,Wkwkwk parkir oleh e akeh yo ?????? tak adek lahan parkir piye masuk ra????,"Mengapa kamu parkir begitu banyak?????? Saya tidak punya tempat parkir, bagaimana saya bisa masuk????"
396,itsmeolv_,@aheunaegawijaya ben,@aheunaegawijaya ben
397,bangkit_dc11,@fyrs_rr aku arep komen bak e ws enek sng muni ????,"@fyrs_rr Saya ingin berkomentar, bagaimana suara Anda????"
398,lanfy12_,@fllnh.m,@fllnh.m
399,faisagussetia,"Y jelas lah tukang parkir nolak, y di setorkan sama hasil beda.??","Yang jelas tukang parkirnya menolak, dan dia menyetorkan hasil yang sama.??"
400,mas_acong_,Yo jukire wae seng di ganti,Saya pikir sudah waktunya untuk mengubahnya
401,muhamd.maghfur,"Lek raiso gawe alat/aplikasi ne ganti sg enom, kualitas SDM perlu di updated","Alat/aplikasi pembuatan Lek Raiso mengalami perubahan, kualitas SDM perlu diperbarui"
402,nuryadi1453,@edykusumaa pensiun,@edykusumaa pensiun
403,nuryadi1453,@pradikaangga_ masih banyak tenaga yg nganggur,@pradikaangga_ masih banyak tenaga penganggurannya
404,misgiart,@fyrs_rr sudah terwakilkan twrnyata,@fyrs_rr telah diwakili twrnyata
405,mas.hakiem,"Orang yg menolak kemajuan, pasti akan mengeluarkan banyak alasan. Yg katanya ribet lah, susah lah...","Orang yang menolak kemajuan tentu akan memberikan banyak alasan. Katanya rumit, sulit..."
406,mbak_hess,@michellia308 benar??,@ michellia308 kan??
407,feri_bbwr1711,pas ada e parking 2 ribu.kemaren gak ada e parking 3 ribu ??,padahal ada parkir 2 ribu. Kemarin tidak ada parkir 3 ribu??
408,dickymhf,???? lucu,???? lucu
409,yusyarifai,"Gak tau lah.....parkir manual seng ngentit jukir,la ko di gawe e parkir seng mangan...????nek podo ora transparan yo ora ush di wenei parkir,wong duwe motor/mobil yo wis mbayar pajek....kok yo sek mbayar PARKIR,ANEEEHHH TOOOO","Entahlah.....parkir manual repot, tapi makan harus diparkir...???? ...kenapa bayar PARKIR, ANEEEHHH JUGA"
410,heeeennn,"Masyarakat ora menolak, jukir tok sing nolak","Masyarakat tidak menolak, bahkan yang menolak pun mengatakan"
411,dwik_rahayu,??????,??????
412,awan_prastowo,@heeeennn gasssss ??????????????????????,@heeeennn gassss ????????????????????????
413,m_anwar_fauzi,Sing muni rumat rumit dicutik ae suwen.,Kedengarannya rumit dan memakan waktu lama.
414,wahyu_listio,Ribet opo emang moh belajar?? Padene ben mbalik manual meneh?,Apakah sulit untuk belajar? Bagaimana kalau kembali ke manual?
415,hmadsy666,setuju banget lek semisal diterapno. gawe kebaikan bersama,Saya sangat setuju. berbuat baik bersama-sama
416,enytamufidh,Parkir nang ngarep latansa duit 10rb arep ora disusuki..duit e lebokne kantong lsg..dikiro kene ra ngerti pd hal etok2 berpaling muka.mboso dienteni duit etok2 digoleki seng 10rb.delalah nang tumbukan duite enek 10rb.di iya i wae trs agi disusuki..,"Parkir di depan rumah, 10.000 tidak akan dicuri.. uangnya ada di saku.."
417,enytamufidh,@enytamufidh duduk seng nang latar e latansa lo ya..seng dalan HOS.kan parkire dewe2 iku,@enytamufidh terletak di halaman Latansa..di jalan HOS
418,garasi_bangyos,"Nek ra gelem dadi jukir, munduro ae...nek maju2 keterak motor lewat ngko","Kalau tak mau jadi jukir, mundurlah..kalau mau maju, sepeda motor akan melewatimu"
419,mia_rahayu07,Kalo pakek e-parking kena brpa permotor,"Kalau pakai e-parking, motornya harus bayar"
420,ferysetiawanbs762,@muslihitz86 padahal motor diwalik e ora??,@muslihitz86 padahal motornya terbalik ya??
421,jenihendra,Kadang diwei 5 ewu gak jujul alasan gak ketok ??????... sekalian ngamal,Terkadang saya tidak membayar 5 ribu karena tidak melihat alasannya ??????
422,cinocaramel,Parkir kemarin di dekat masjid alon2 ada acara senam paud malah 5k dan tdk ada karcis parkir,"Parkir kemarin dekat mesjid lambat, ada acara senam, malah 5k dan tidak ada karcis parkir"
423,ratu_jagal,"Lanjutkan e parkir 
Biar pad naik","Lanjutkan parkir 
Biarkan bantalannya naik"
424,escoklatcokot.hoscokroaminoto,"@fyrs_rr padahal jukir itu setornya ke dinas perhubungan setiap bulan,dan sudah dipatok tarif setornya.cara ngentitnya gimana ya mbak???","@fyrs_rr padahal jukir tiap bulan menyetorkannya ke dinas perhubungan, dan bunga depositnya sudah fix."
425,nurrofi.mahmuda,"Jenenge belajar ki yo alon2, urung2 kok wis sambat","Proses belajarnya lambat, kenapa mengeluh?"
426,s.roni09,"Mbok yo nng POPER pisan di kek i e parking,angger rono pas hari² besar kok parkire ngalah²no kota besar","Mungkin di parkiran rame banget, mumpung hari besar kenapa parkir di kota besar?"
427,itss.silviyuse,@escoklatcokot.hoscokroaminoto  la nggeh to mbak bener.. Padahal jukir resmi iku ya setiap bulan e setor ini ya naik setorannya.. Kok enak men ada yang bilang ngentit ?? pendapatan naik daerah karena ada parkir pas acara kemarin dan yang kasih tarif mahal orang yang baru baru bukan tukang parkir resmi..,@escoklatcokot.hoscokroaminoto benar ya bu.. Padahal di akun resminya tiap bulan depositnya naik. Pendapatan didaerah tersebut meningkat karena ada tempat parkir untuk acara kemarin dan yang memberi tarif mahal adalah pendatang baru yang bukan juru parkir resmi..
428,itss.silviyuse,@dana_pradan  pie ale ngentit mas la wong jukir iku ya setiap bulan ya bayar setoran ndek dishub lo ??,"@dana_pradan pie ale bu, apakah orang jukir itu bayar deposit tiap bulan?"
429,itss.silviyuse,@faisagussetia  setoran e sesuai yang di katakan dishub ta wong jelas kok e,@faisagussetia depositnya sesuai dengan yang didishub bilang kok jelas?
430,faisagussetia,"Emmm no komen mbk, tapi nopo kok nolak?","Ummm no comment gan, tapi kenapa ditolak?"
431,dana_pradan,"@itss.silviyuse bener setiap bayar bulan, tapi sg dibayar karo pemasukan e bedo wkwkw wong pengunjung parkir kebanyakan ga diwei karcis, karcis e maleh dadi akal akal ane jukir sg senengane main pungli","@itss.silviyuse memang benar bayarnya tiap bulan, tapi dibayar dengan penghasilan."
432,itss.silviyuse,@dana_pradan  seng dibayar teng dishub niku nggeh sampun di target kaleh kantor e lo mas ??  ng kurang setoran e mawon nggeh di golek i kok e wonge mas,"@dana_pradan apakah dishubnya sudah dibayar, diincar kantor lain?  Jika Anda tidak memiliki deposit, Anda tidak dapat menemukannya"
433,dana_pradan,@itss.silviyuse okaayy,@itss.silviyuse oke
434,marin.marko,"Nyuwun sewu pak @sugirisancoko26 kalian @dishubpng parkir pinggir jalan kados jalan HOS niku tarif / bayare pinten geh sakniki tirose enten sing roda 2 2000, roda 4 5000 nopo leres soale nembe dek wingi pas badene parkir mboten enten sing mapakne moso bade wasul langsung diparani gek bayar 5000 biasane disusuk i 2000 kok mboten.. nggeh leres menawi eparking dipun terap aken damel antisipasi pungli jukir meniko..??","Terima kasih pak @sugirisancoko26 kalian @dishubpng taman di pinggir jalan seperti jalan HOS, tarif/pembayarannya sekarang berapa? bayar 5000 biasanya masuk tahun 2000 kenapa tidak.. benarkah kalau eparking diberlakukan? buat antisipasi pungli jukir seperti ini..??"
435,rifadno,@michellia308 ng alunalun 3k,@michellia308 di alunalun 3k
436,michellia308,@rifadno kalo ada acara 5k?? saya selaku kaum pelajar sedikit keberatan sebenarnya :'),@rifadno kalau ada acara 5k?? Saya sebagai mahasiswa sebenarnya sedikit keberatan :')
437,_omahelektronik,@fyrs_rr ????,@fyrs_rr ????
438,rifadno,@michellia308 laiyoo mayan ya 5 ewu kenek gawe tuku jus opo pentol goreng wkwkw,@michellia308 Saya mau bayar 5 ribu untuk beli jus atau gorengan wkwkw
439,pradikaangga_,Nek ruwet pecat ae jukir e??,Kalau ribet nanti dipecat ya??
440,muslihitz,"Padine ra iso ngutel ae kok kakean alasan ribet, paling pegel ki motor ra di kapak""ne nk parkir, yo sek panggha di jaluki duwek parkir nk ngaleh","Gak bisa kasih tau kenapa ribet banget, yang paling nyebelin motornya diparkir, kalau disuruh parkirin aku"
441,hantoro_krista,??ribet karena penghasilan jukir berkurang drastis.... Ayoo gas.. Demi kemajuan.. e-perkir aja,??ribet karena penghasilan jukir berkurang drastis.... Ayo gas.. Demi kemajuan.. jangan dipikirkan
442,edykusumaa,Jukire pun sepuh ??,Jukire juga sudah tua??
443,erwincaprut,@fyrs_rr  wkwkwkwk,@fyrs_rr wkwkwkwk
444,ursa_maritimus,@bimaekanusantara_ @ramaakukuh,@bimaekanusantara_ @ramaakukuh
445,bimaekanusantara_,"@happy_ursus no comment, urusane wong pusat","@happy_ursus no comment, itu urusan rakyat sentral"
446,super_tedjo,"jukir kan emg cm dikenai wajib setor, klo lewat e parking gak gitu konsepnya ????","Mohon maaf wajib deposit, kalau lewat parkiran konsepnya gitu????"
447,nunu.sgt,"Iya pak @dishubpng e-parking aja,.. karna lbih tertib dan ga marai emosi. Soale marai aku emosi pak jukir² sg diwei 1000 tpi ra gelem nampani. Mekso² kon 2rb, sdangkan disaat itu ra enek duit receh. E-parking emng butuh waktu sosialisasi, baik penggunaan dan caranya, seiring brjalannya waktu nanti juga terbiasa","Iya pak @dishhubpng jangan lakukan e-parking,.. karena lebih tertib dan kurang emosi. Emosional sekali pak Jukir, saya dikasih 1000 tapi saya tidak mau terima. Nilainya 2 miliar, tapi saat itu hanya sekeping koin. E-parking sangat membutuhkan waktu untuk bersosialisasi, baik cara penggunaannya maupun bagaimana seiring berjalannya waktu Anda akan terbiasa."
448,ramaakukuh,@happy_ursus barang opo wi,@happy_ursus ada apa?
449,miyano_sherry21,Penghasilan berkurang...(pernah parkir motor di salah satu ruas jalan hos Cokroaminoto..saya kasih 5ribuan..kok dijujuli 2000.. aq yo nge gas to..sejak kapan parkir montor malih 3000?!!?. Trus mbi jukir e dijujuli 3000.. alasane salah ndudut duit..??????),Penghasilannya berkurang... (Dulu saya parkir motor di salah satu jalan Hos Cokroaminoto.. Saya bayar 5 ribu.. kenapa disebut 2000.. Saya tidak punya bensin.. sejak kapan saya parkir mobil seharga 3000 lagi?!!?.
450,alfanzain.id,"Berarti faktanya, jukir kuwi curang. Wes narik e 2000. Sing disetorne mung sitik","Artinya faktanya, jukir adalah penipuan. Kami sudah menarik 2000. Depositnya hanya sedikit"
